"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","","Mean year ended"
" "," ","Female",24000
" ","67 Years","Male",22720
" "," ","Female",23390
" ","68 Years","Male",22410
" "," ","Female",23450
" ","69 Years","Male",21900
" "," ","Female",22930
" ","70 Years","Male",18830
" "," ","Female",19890
" ","71 Years","Male",17190
" "," ","Female",18390
" ","72 Years","Male",16010
" "," ","Female",16960
" ","73 Years","Male",14470
" "," ","Female",15590
" ","74 Years","Male",15050
" "," ","Female",16500
" ","75 Years","Male",14470
" "," ","Female",15990
" ","76 Years","Male",13070
" "," ","Female",14610
" ","77 Years","Male",11500
" "," ","Female",13290
" ","78 Years","Male",10580
" "," ","Female",12290
" ","79 Years","Male",9620
" "," ","Female",11370
" ","80 Years","Male",8760
" "," ","Female",10400
" ","81 Years","Male",8100
" "," ","Female",9620
" ","82 Years","Male",7360
" "," ","Female",9140
" ","83 Years","Male",6620
" "," ","Female",8700
" ","84 Years","Male",6230
" "," ","Female",8090
" ","85 Years","Male",5830
" "," ","Female",7820
" ","86 Years","Male",4970
" "," ","Female",7160
" ","87 Years","Male",4280
" "," ","Female",6360
" ","88 Years","Male",3600
" "," ","Female",5590
" ","89 Years","Male",3010
" "," ","Female",4980
" ","90 Years","Male",2370
" "," ","Female",4290
" ","91 Years","Male",1880
" "," ","Female",3680
" ","92 Years","Male",1410
" "," ","Female",2970
" ","93 Years","Male",1060
" "," ","Female",2370
" ","94 Years","Male",780
" "," ","Female",1930
" ","0-4 Years","Male",156610
" "," ","Female",148350
" ","5-9 Years","Male",165750
" "," ","Female",156650
" ","10-14 Years","Male",152500
" "," ","Female",145130
" ","15-19 Years","Male",163300
" "," ","Female",154160
" ","20-24 Years","Male",179660
" "," ","Female",163450
" ","25-29 Years","Male",170370
" "," ","Female",168220
" ","30-34 Years","Male",149040
" "," ","Female",156230
" ","35-39 Years","Male",139310
" "," ","Female",147740
" ","40-44 Years","Male",148630
" "," ","Female",159320
" ","45-49 Years","Male",156480
" "," ","Female",167430
" ","50-54 Years","Male",156250
" "," ","Female",165140
" ","55-59 Years","Male",144730
" "," ","Female",153060
" ","60-64 Years","Male",125070
" "," ","Female",131800
" ","65-69 Years","Male",113270
" "," ","Female",117960
" ","70-74 Years","Male",81540
" "," ","Female",87330
" ","75-79 Years","Male",59240
" "," ","Female",67550
" ","80-84 Years","Male",37070
" "," ","Female",45950
" ","85-89 Years","Male",21680
" "," ","Female",31910
" ","Under 15 Years","Male",474900
" "," ","Female",450100
" ","Under 16 Years","Male",506800
" "," ","Female",480600
" ","Under 18 Years","Male",571700
" "," ","Female",542000
" ","Under 20 Years","Male",638200
" "," ","Female",604300
" ","15-39 Years","Male",801700
" "," ","Female",789800
" ","15-49 Years","Male",1106800
" "," ","Female",1116600
" ","15-59 Years","Male",1407800
" "," ","Female",1434800
" ","40-64 Years","Male",731200
" "," ","Female",776800
" ","15-64 Years","Male",1532800
" "," ","Female",1566600
" ","15 Years and Over","Male",1854700
" "," ","Female",1936900
" ","16 Years and Over","Male",1822700
" "," ","Female",1906300
" ","18 Years and Over","Male",1757800
" "," ","Female",1845000
" ","20 Years and Over","Male",1691400
" "," ","Female",1782700
" ","90-94 Years","Male",7510
" "," ","Female",15230
" ","60 Years and Over","Male",446900
" "," ","Female",502100
" ","65 Years and Over","Male",321800
" "," ","Female",370300
" ","75 Years and Over","Male",127000
" "," ","Female",165000
" ","80 Years and Over","Male",67800
" "," ","Female",97500
" ","85 Years and Over","Male",30700
" "," ","Female",51500
" ","90 Years and Over","Male",9030
" "," ","Female",19580
" ","95 Years and Over","Male",1520
" "," ","Female",4360
" ","Median Age (Years)","Male",36.0
" "," ","Female",38.4
" ","Total All Ages","Male",2329500
" "," ","Female",2387000
2017,"0 Years","Male",30750
" "," ","Female",29240
" ","1 Years","Male",30950
" "," ","Female",29260
" ","2 Years","Male",31290
" "," ","Female",29450
" ","3 Years","Male",31460
" "," ","Female",29650
" ","4 Years","Male",32490
" "," ","Female",31000
" ","5 Years","Male",33010
" "," ","Female",31410
" ","6 Years","Male",33530
" "," ","Female",31750
" ","7 Years","Male",33870
" "," ","Female",32120
" ","8 Years","Male",33870
" "," ","Female",31530
" ","9 Years","Male",33630
" "," ","Female",31910
" ","10 Years","Male",32640
" "," ","Female",30960
" ","11 Years","Male",31170
" "," ","Female",29750
" ","12 Years","Male",30780
" "," ","Female",29260
" ","13 Years","Male",30820
" "," ","Female",29350
" ","14 Years","Male",30910
" "," ","Female",29060
" ","15 Years","Male",31210
" "," ","Female",29810
" ","16 Years","Male",32680
" "," ","Female",31160
" ","17 Years","Male",33210
" "," ","Female",31380
" ","18 Years","Male",32450
" "," ","Female",30750
" ","19 Years","Male",33450
" "," ","Female",31350
" ","20 Years","Male",34380
" "," ","Female",31800
" ","21 Years","Male",35480
" "," ","Female",32190
" ","22 Years","Male",35860
" "," ","Female",32660
" ","23 Years","Male",36150
" "," ","Female",33060
" ","24 Years","Male",37330
" "," ","Female",34170
" ","25 Years","Male",38040
" "," ","Female",35090
" ","26 Years","Male",37730
" "," ","Female",36180
" ","27 Years","Male",36790
" "," ","Female",35770
" ","28 Years","Male",35070
" "," ","Female",34980
" ","29 Years","Male",34250
" "," ","Female",34960
" ","30 Years","Male",33140
" "," ","Female",33510
" ","31 Years","Male",31940
" "," ","Female",32940
" ","32 Years","Male",31230
" "," ","Female",32770
" ","33 Years","Male",30950
" "," ","Female",32170
" ","34 Years","Male",30770
" "," ","Female",31870
" ","35 Years","Male",30110
" "," ","Female",31230
" ","36 Years","Male",29680
" "," ","Female",30660
" ","37 Years","Male",29250
" "," ","Female",30460
" ","38 Years","Male",28550
" "," ","Female",30120
" ","39 Years","Male",27970
" "," ","Female",29580
" ","40 Years","Male",28270
" "," ","Female",29720
" ","41 Years","Male",28420
" "," ","Female",29730
" ","42 Years","Male",29230
" "," ","Female",31120
" ","43 Years","Male",30210
" "," ","Female",32250
" ","44 Years","Male",31360
" "," ","Female",33350
" ","45 Years","Male",32510
" "," ","Female",34520
" ","46 Years","Male",32500
" "," ","Female",34820
" ","47 Years","Male",31960
" "," ","Female",33930
" ","48 Years","Male",31920
" "," ","Female",33800
" ","49 Years","Male",31340
" "," ","Female",33100
" ","50 Years","Male",30740
" "," ","Female",32440
" ","51 Years","Male",30740
" "," ","Female",32050
" ","52 Years","Male",30970
" "," ","Female",32560
" ","53 Years","Male",31720
" "," ","Female",33360
" ","54 Years","Male",32020
" "," ","Female",34080
" ","55 Years","Male",31710
" "," ","Female",33510
" ","56 Years","Male",30770
" "," ","Female",32810
" ","57 Years","Male",29850
" "," ","Female",31420
" ","58 Years","Male",29080
" "," ","Female",30640
" ","59 Years","Male",27940
" "," ","Female",29640
" ","60 Years","Male",27290
" "," ","Female",28730
" ","61 Years","Male",26510
" "," ","Female",27870
" ","62 Years","Male",25630
" "," ","Female",27210
" ","63 Years","Male",24850
" "," ","Female",26240
" ","64 Years","Male",24090
" "," ","Female",25530
" ","65 Years","Male",23750
" "," ","Female",24700
" ","66 Years","Male",23120
" "," ","Female",24050
" ","67 Years","Male",22760
" "," ","Female",23820
" ","68 Years","Male",22470
" "," ","Female",23170
" ","69 Years","Male",22080
" "," ","Female",23200
" ","70 Years","Male",21550
" "," ","Female",22650
" ","71 Years","Male",18540
" "," ","Female",19600
" ","72 Years","Male",16850
" "," ","Female",18100
" ","73 Years","Male",15650
" "," ","Female",16640
" ","74 Years","Male",14100
" "," ","Female",15270
" ","75 Years","Male",14630
" "," ","Female",16150
" ","76 Years","Male",14000
" "," ","Female",15620
" ","77 Years","Male",12610
" "," ","Female",14250
" ","78 Years","Male",11080
" "," ","Female",12930
" ","79 Years","Male",10100
" "," ","Female",11900
" ","80 Years","Male",9110
" "," ","Female",10950
" ","81 Years","Male",8220
" "," ","Female",9950
" ","82 Years","Male",7580
" "," ","Female",9180
" ","83 Years","Male",6850
" "," ","Female",8670
" ","84 Years","Male",6060
" "," ","Female",8150
" ","85 Years","Male",5620
" "," ","Female",7540
" ","86 Years","Male",5220
" "," ","Female",7180
" ","87 Years","Male",4420
" "," ","Female",6560
" ","88 Years","Male",3740
" "," ","Female",5720
" ","89 Years","Male",3080
" "," ","Female",4940
" ","90 Years","Male",2530
" "," ","Female",4320
" ","91 Years","Male",1950
" "," ","Female",3680
" ","92 Years","Male",1510
" "," ","Female",3110
" ","93 Years","Male",1120
" "," ","Female",2470
" ","94 Years","Male",810
" "," ","Female",1940
" ","0-4 Years","Male",156930
" "," ","Female",148600
" ","5-9 Years","Male",167910
" "," ","Female",158710
" ","10-14 Years","Male",156330
" "," ","Female",148370
" ","15-19 Years","Male",163000
" "," ","Female",154450
" ","20-24 Years","Male",179210
" "," ","Female",163870
" ","25-29 Years","Male",181880
" "," ","Female",176990
" ","30-34 Years","Male",158020
" "," ","Female",163270
" ","35-39 Years","Male",145570
" "," ","Female",152050
" ","40-44 Years","Male",147490
" "," ","Female",156170
" ","45-49 Years","Male",160240
" "," ","Female",170160
" ","50-54 Years","Male",156190
" "," ","Female",164490
" ","55-59 Years","Male",149350
" "," ","Female",158010
" ","60-64 Years","Male",128380
" "," ","Female",135580
" ","65-69 Years","Male",114190
" "," ","Female",118940
" ","70-74 Years","Male",86680
" "," ","Female",92250
" ","75-79 Years","Male",62410
" "," ","Female",70840
" ","80-84 Years","Male",37810
" "," ","Female",46900
" ","85-89 Years","Male",22070
" "," ","Female",31950
" ","Under 15 Years","Male",481200
" "," ","Female",455700
" ","Under 16 Years","Male",512400
" "," ","Female",485500
" ","Under 18 Years","Male",578300
" "," ","Female",548000
" ","Under 20 Years","Male",644200
" "," ","Female",610100
" ","15-39 Years","Male",827700
" "," ","Female",810600
" ","15-49 Years","Male",1135400
" "," ","Female",1137000
" ","15-59 Years","Male",1440900
" "," ","Female",1459500
" ","40-64 Years","Male",741600
" "," ","Female",784400
" ","15-64 Years","Male",1569300
" "," ","Female",1595000
" ","15 Years and Over","Male",1902100
" "," ","Female",1976100
" ","16 Years and Over","Male",1870800
" "," ","Female",1946300
" ","18 Years and Over","Male",1805000
" "," ","Female",1883800
" ","20 Years and Over","Male",1739100
" "," ","Female",1821700
" ","90-94 Years","Male",7910
" "," ","Female",15520
" ","60 Years and Over","Male",461100
" "," ","Female",516700
" ","65 Years and Over","Male",332700
" "," ","Female",381100
" ","75 Years and Over","Male",131900
" "," ","Female",169900
" ","80 Years and Over","Male",69500
" "," ","Female",99100
" ","85 Years and Over","Male",31600
" "," ","Female",52200
" ","90 Years and Over","Male",9570
" "," ","Female",20210
" ","95 Years and Over","Male",1660
" "," ","Female",4680
" ","Median Age (Years)","Male",35.9
" "," ","Female",38.3
" ","Total All Ages","Male",2383200
" "," ","Female",2431800
2018,"0 Years","Male",30530
" "," ","Female",29000
" ","1 Years","Male",30970
" "," ","Female",29440
" ","2 Years","Male",31430
" "," ","Female",29690
" ","3 Years","Male",31870
" "," ","Female",30000
" ","4 Years","Male",32010
" "," ","Female",30130
" ","5 Years","Male",33020
" "," ","Female",31490
" ","6 Years","Male",33420
" "," ","Female",31800
" ","7 Years","Male",33840
" "," ","Female",32050
" ","8 Years","Male",34160
" "," ","Female",32370
" ","9 Years","Male",34170
" "," ","Female",31810
" ","10 Years","Male",33920
" "," ","Female",32180
" ","11 Years","Male",32980
" "," ","Female",31260
" ","12 Years","Male",31560
" "," ","Female",30060
" ","13 Years","Male",31120
" "," ","Female",29620
" ","14 Years","Male",31210
" "," ","Female",29700
" ","15 Years","Male",31550
" "," ","Female",29580
" ","16 Years","Male",31870
" "," ","Female",30390
" ","17 Years","Male",33170
" "," ","Female",31580
" ","18 Years","Male",33430
" "," ","Female",31590
" ","19 Years","Male",32890
" "," ","Female",31030
" ","20 Years","Male",34000
" "," ","Female",31780
" ","21 Years","Male",34650
" "," ","Female",32130
" ","22 Years","Male",35590
" "," ","Female",32440
" ","23 Years","Male",36140
" "," ","Female",33220
" ","24 Years","Male",36540
" "," ","Female",33730
" ","25 Years","Male",37860
" "," ","Female",35090
" ","26 Years","Male",38780
" "," ","Female",36270
" ","27 Years","Male",38620
" "," ","Female",37470
" ","28 Years","Male",37850
" "," ","Female",37080
" ","29 Years","Male",36160
" "," ","Female",36210
" ","30 Years","Male",35500
" "," ","Female",36160
" ","31 Years","Male",34360
" "," ","Female",34560
" ","32 Years","Male",33030
" "," ","Female",33950
" ","33 Years","Male",32250
" "," ","Female",33500
" ","34 Years","Male",32030
" "," ","Female",32970
" ","35 Years","Male",31760
" "," ","Female",32610
" ","36 Years","Male",31120
" "," ","Female",31890
" ","37 Years","Male",30590
" "," ","Female",31230
" ","38 Years","Male",30120
" "," ","Female",31000
" ","39 Years","Male",29400
" "," ","Female",30570
" ","40 Years","Male",28740
" "," ","Female",30010
" ","41 Years","Male",28960
" "," ","Female",30060
" ","42 Years","Male",29060
" "," ","Female",30040
" ","43 Years","Male",29830
" "," ","Female",31370
" ","44 Years","Male",30760
" "," ","Female",32500
" ","45 Years","Male",31950
" "," ","Female",33570
" ","46 Years","Male",33000
" "," ","Female",34690
" ","47 Years","Male",32930
" "," ","Female",34910
" ","48 Years","Male",32330
" "," ","Female",34000
" ","49 Years","Male",32270
" "," ","Female",33900
" ","50 Years","Male",31630
" "," ","Female",33150
" ","51 Years","Male",30980
" "," ","Female",32470
" ","52 Years","Male",30870
" "," ","Female",32100
" ","53 Years","Male",31110
" "," ","Female",32630
" ","54 Years","Male",31810
" "," ","Female",33410
" ","55 Years","Male",32130
" "," ","Female",34120
" ","56 Years","Male",31730
" "," ","Female",33530
" ","57 Years","Male",30790
" "," ","Female",32800
" ","58 Years","Male",29880
" "," ","Female",31390
" ","59 Years","Male",29050
" "," ","Female",30600
" ","60 Years","Male",27970
" "," ","Female",29660
" ","61 Years","Male",27200
" "," ","Female",28680
" ","62 Years","Male",26390
" "," ","Female",27820
" ","63 Years","Male",25500
" "," ","Female",27150
" ","64 Years","Male",24770
" "," ","Female",26140
" ","65 Years","Male",24040
" "," ","Female",25420
" ","66 Years","Male",23580
" "," ","Female",24550
" ","67 Years","Male",22910
" "," ","Female",23830
" ","68 Years","Male",22510
" "," ","Female",23580
" ","69 Years","Male",22200
" "," ","Female",22870
" ","70 Years","Male",21710
" "," ","Female",22920
" ","71 Years","Male",21170
" "," ","Female",22330
" ","72 Years","Male",18180
" "," ","Female",19290
" ","73 Years","Male",16470
" "," ","Female",17770
" ","74 Years","Male",15290
" "," ","Female",16290
" ","75 Years","Male",13690
" "," ","Female",14920
" ","76 Years","Male",14160
" "," ","Female",15790
" ","77 Years","Male",13500
" "," ","Female",15200
" ","78 Years","Male",12100
" "," ","Female",13840
" ","79 Years","Male",10610
" "," ","Female",12520
" ","80 Years","Male",9590
" "," ","Female",11460
" ","81 Years","Male",8560
" "," ","Female",10480
" ","82 Years","Male",7670
" "," ","Female",9470
" ","83 Years","Male",7020
" "," ","Female",8710
" ","84 Years","Male",6320
" "," ","Female",8180
" ","85 Years","Male",5490
" "," ","Female",7610
" ","86 Years","Male",5030
" "," ","Female",6940
" ","87 Years","Male",4590
" "," ","Female",6560
" ","88 Years","Male",3860
" "," ","Female",5910
" ","89 Years","Male",3200
" "," ","Female",5090
" ","90 Years","Male",2570
" "," ","Female",4310
" ","91 Years","Male",2070
" "," ","Female",3700
" ","92 Years","Male",1560
" "," ","Female",3100
" ","93 Years","Male",1180
" "," ","Female",2550
" ","94 Years","Male",860
" "," ","Female",2000
" ","0-4 Years","Male",156810
" "," ","Female",148260
" ","5-9 Years","Male",168610
" "," ","Female",159520
" ","10-14 Years","Male",160790
" "," ","Female",152820
" ","15-19 Years","Male",162920
" "," ","Female",154170
" ","20-24 Years","Male",176920
" "," ","Female",163300
" ","25-29 Years","Male",189270
" "," ","Female",182120
" ","30-34 Years","Male",167170
" "," ","Female",171130
" ","35-39 Years","Male",152980
" "," ","Female",157310
" ","40-44 Years","Male",147350
" "," ","Female",153990
" ","45-49 Years","Male",162480
" "," ","Female",171080
" ","50-54 Years","Male",156390
" "," ","Female",163760
" ","55-59 Years","Male",153580
" "," ","Female",162440
" ","60-64 Years","Male",131830
" "," ","Female",139450
" ","65-69 Years","Male",115250
" "," ","Female",120260
" ","70-74 Years","Male",92820
" "," ","Female",98590
" ","75-79 Years","Male",64060
" "," ","Female",72270
" ","80-84 Years","Male",39160
" "," ","Female",48290
" ","85-89 Years","Male",22170
" "," ","Female",32100
" ","Under 15 Years","Male",486200
" "," ","Female",460600
" ","Under 16 Years","Male",517800
" "," ","Female",490200
" ","Under 18 Years","Male",582800
" "," ","Female",552200
" ","Under 20 Years","Male",649100
" "," ","Female",614800
" ","15-39 Years","Male",849300
" "," ","Female",828000
" ","15-49 Years","Male",1159100
" "," ","Female",1153100
" ","15-59 Years","Male",1469100
" "," ","Female",1479300
" ","40-64 Years","Male",751600
" "," ","Female",790700
" ","15-64 Years","Male",1600900
" "," ","Female",1618800
" ","15 Years and Over","Male",1944400
" "," ","Female",2010900
" ","16 Years and Over","Male",1912800
" "," ","Female",1981300
" ","18 Years and Over","Male",1847800
" "," ","Female",1919400
" ","20 Years and Over","Male",1781400
" "," ","Female",1856700
" ","90-94 Years","Male",8230
" "," ","Female",15660
" ","60 Years and Over","Male",475300
" "," ","Female",531600
" ","65 Years and Over","Male",343500
" "," ","Female",392200
" ","75 Years and Over","Male",135400
" "," ","Female",173300
" ","80 Years and Over","Male",71300
" "," ","Female",101000
" ","85 Years and Over","Male",32200
" "," ","Female",52700
" ","90 Years and Over","Male",10010
" "," ","Female",20650
" ","95 Years and Over","Male",1780
" "," ","Female",4990
" ","Median Age (Years)","Male",36.0
" "," ","Female",38.3
" ","Total All Ages","Male",2430600
" "," ","Female",2471500
2019,"0 Years","Male",30650
" "," ","Female",29000
" ","1 Years","Male",30730
" "," ","Female",29180
" ","2 Years","Male",31430
" "," ","Female",29860
" ","3 Years","Male",31960
" "," ","Female",30160
" ","4 Years","Male",32390
" "," ","Female",30490
" ","5 Years","Male",32570
" "," ","Female",30630
" ","6 Years","Male",33390
" "," ","Female",31920
" ","7 Years","Male",33810
" "," ","Female",32180
" ","8 Years","Male",34210
" "," ","Female",32430
" ","9 Years","Male",34550
" "," ","Female",32730
" ","10 Years","Male",34530
" "," ","Female",32120
" ","11 Years","Male",34250
" "," ","Female",32510
" ","12 Years","Male",33390
" "," ","Female",31600
" ","13 Years","Male",31960
" "," ","Female",30410
" ","14 Years","Male",31530
" "," ","Female",29980
" ","15 Years","Male",31750
" "," ","Female",30190
" ","16 Years","Male",32080
" "," ","Female",30100
" ","17 Years","Male",32240
" "," ","Female",30770
" ","18 Years","Male",33410
" "," ","Female",31780
" ","19 Years","Male",33870
" "," ","Female",31920
" ","20 Years","Male",33320
" "," ","Female",31340
" ","21 Years","Male",34400
" "," ","Female",32030
" ","22 Years","Male",34820
" "," ","Female",32400
" ","23 Years","Male",35920
" "," ","Female",32980
" ","24 Years","Male",36510
" "," ","Female",33790
" ","25 Years","Male",36900
" "," ","Female",34500
" ","26 Years","Male",38350
" "," ","Female",36080
" ","27 Years","Male",39360
" "," ","Female",37380
" ","28 Years","Male",39320
" "," ","Female",38420
" ","29 Years","Male",38670
" "," ","Female",38150
" ","30 Years","Male",37080
" "," ","Female",37220
" ","31 Years","Male",36400
" "," ","Female",37120
" ","32 Years","Male",35230
" "," ","Female",35370
" ","33 Years","Male",33820
" "," ","Female",34580
" ","34 Years","Male",33110
" "," ","Female",34170
" ","35 Years","Male",32850
" "," ","Female",33650
" ","36 Years","Male",32600
" "," ","Female",33240
" ","37 Years","Male",31980
" "," ","Female",32520
" ","38 Years","Male",31340
" "," ","Female",31820
" ","39 Years","Male",30870
" "," ","Female",31490
" ","40 Years","Male",30120
" "," ","Female",31020
" ","41 Years","Male",29370
" "," ","Female",30400
" ","42 Years","Male",29570
" "," ","Female",30400
" ","43 Years","Male",29620
" "," ","Female",30350
" ","44 Years","Male",30300
" "," ","Female",31620
" ","45 Years","Male",31140
" "," ","Female",32720
" ","46 Years","Male",32330
" "," ","Female",33720
" ","47 Years","Male",33330
" "," ","Female",34800
" ","48 Years","Male",33210
" "," ","Female",35050
" ","49 Years","Male",32590
" "," ","Female",34050
" ","50 Years","Male",32430
" "," ","Female",34000
" ","51 Years","Male",31700
" "," ","Female",33200
" ","52 Years","Male",30990
" "," ","Female",32470
" ","53 Years","Male",30930
" "," ","Female",32140
" ","54 Years","Male",31130
" "," ","Female",32660
" ","55 Years","Male",31800
" "," ","Female",33440
" ","56 Years","Male",32090
" "," ","Female",34170
" ","57 Years","Male",31670
" "," ","Female",33590
" ","58 Years","Male",30740
" "," ","Female",32810
" ","59 Years","Male",29830
" "," ","Female",31430
" ","60 Years","Male",29020
" "," ","Female",30630
" ","61 Years","Male",27940
" "," ","Female",29720
" ","62 Years","Male",27170
" "," ","Female",28720
" ","63 Years","Male",26330
" "," ","Female",27890
" ","64 Years","Male",25490
" "," ","Female",27160
" ","65 Years","Male",24710
" "," ","Female",26130
" ","66 Years","Male",23920
" "," ","Female",25340
" ","67 Years","Male",23440
" "," ","Female",24450
" ","68 Years","Male",22730
" "," ","Female",23700
" ","69 Years","Male",22310
" "," ","Female",23400
" ","70 Years","Male",21920
" "," ","Female",22680
" ","71 Years","Male",21430
" "," ","Female",22710
" ","72 Years","Male",20800
" "," ","Female",22060
" ","73 Years","Male",17810
" "," ","Female",19000
" ","74 Years","Male",16130
" "," ","Female",17480
" ","75 Years","Male",14920
" "," ","Female",16020
" ","76 Years","Male",13310
" "," ","Female",14620
" ","77 Years","Male",13730
" "," ","Female",15450
" ","78 Years","Male",13020
" "," ","Female",14830
" ","79 Years","Male",11600
" "," ","Female",13430
" ","80 Years","Male",10140
" "," ","Female",12110
" ","81 Years","Male",9090
" "," ","Female",11010
" ","82 Years","Male",8030
" "," ","Female",10010
" ","83 Years","Male",7140
" "," ","Female",9010
" ","84 Years","Male",6480
" "," ","Female",8250
" ","85 Years","Male",5790
" "," ","Female",7660
" ","86 Years","Male",4970
" "," ","Female",7050
" ","87 Years","Male",4480
" "," ","Female",6330
" ","88 Years","Male",4000
" "," ","Female",5910
" ","89 Years","Male",3310
" "," ","Female",5270
" ","90 Years","Male",2700
" "," ","Female",4470
" ","91 Years","Male",2110
" "," ","Female",3680
" ","92 Years","Male",1680
" "," ","Female",3090
" ","93 Years","Male",1210
" "," ","Female",2550
" ","94 Years","Male",920
" "," ","Female",2050
" ","0-4 Years","Male",157170
" "," ","Female",148690
" ","5-9 Years","Male",168530
" "," ","Female",159890
" ","10-14 Years","Male",165670
" "," ","Female",156610
" ","15-19 Years","Male",163350
" "," ","Female",154760
" ","20-24 Years","Male",174970
" "," ","Female",162540
" ","25-29 Years","Male",192600
" "," ","Female",184530
" ","30-34 Years","Male",175630
" "," ","Female",178450
" ","35-39 Years","Male",159640
" "," ","Female",162730
" ","40-44 Years","Male",148980
" "," ","Female",153790
" ","45-49 Years","Male",162610
" "," ","Female",170340
" ","50-54 Years","Male",157180
" "," ","Female",164480
" ","55-59 Years","Male",156130
" "," ","Female",165450
" ","60-64 Years","Male",135950
" "," ","Female",144120
" ","65-69 Years","Male",117110
" "," ","Female",123020
" ","70-74 Years","Male",98100
" "," ","Female",103930
" ","75-79 Years","Male",66580
" "," ","Female",74350
" ","80-84 Years","Male",40880
" "," ","Female",50390
" ","85-89 Years","Male",22550
" "," ","Female",32210
" ","Under 15 Years","Male",491400
" "," ","Female",465200
" ","Under 16 Years","Male",523100
" "," ","Female",495400
" ","Under 18 Years","Male",587400
" "," ","Female",556300
" ","Under 20 Years","Male",654700
" "," ","Female",619900
" ","15-39 Years","Male",866200
" "," ","Female",843000
" ","15-49 Years","Male",1177800
" "," ","Female",1167100
" ","15-59 Years","Male",1491100
" "," ","Female",1497100
" ","40-64 Years","Male",760800
" "," ","Female",798200
" ","15-64 Years","Male",1627000
" "," ","Female",1641200
" ","15 Years and Over","Male",1982800
" "," ","Female",2046200
" ","16 Years and Over","Male",1951100
" "," ","Female",2016000
" ","18 Years and Over","Male",1886700
" "," ","Female",1955100
" ","20 Years and Over","Male",1819500
" "," ","Female",1891400
" ","90-94 Years","Male",8610
" "," ","Female",15850
" ","60 Years and Over","Male",491700
" "," ","Female",549100
" ","65 Years and Over","Male",355800
" "," ","Female",405000
" ","75 Years and Over","Male",140600
" "," ","Female",178100
" ","80 Years and Over","Male",74000
" "," ","Female",103700
" ","85 Years and Over","Male",33100
" "," ","Female",53300
" ","90 Years and Over","Male",10570
" "," ","Female",21100
" ","95 Years and Over","Male",1960
" "," ","Female",5260
" ","Median Age (Years)","Male",36.2
" "," ","Female",38.3
" ","Total All Ages","Male",2474200
" "," ","Female",2511400
2020,"0 Years","Male",30400
" "," ","Female",29070
" ","1 Years","Male",30910
" "," ","Female",29190
" ","2 Years","Male",31190
" "," ","Female",29620
" ","3 Years","Male",32030
" "," ","Female",30380
" ","4 Years","Male",32480
" "," ","Female",30670
" ","5 Years","Male",32910
" "," ","Female",31000
" ","6 Years","Male",33020
" "," ","Female",31070
" ","7 Years","Male",33780
" "," ","Female",32360
" ","8 Years","Male",34220
" "," ","Female",32600
" ","9 Years","Male",34620
" "," ","Female",32850
" ","10 Years","Male",34970
" "," ","Female",33090
" ","11 Years","Male",34880
" "," ","Female",32530
" ","12 Years","Male",34630
" "," ","Female",32880
" ","13 Years","Male",33780
" "," ","Female",31940
" ","14 Years","Male",32340
" "," ","Female",30760
" ","15 Years","Male",31960
" "," ","Female",30460
" ","16 Years","Male",32210
" "," ","Female",30640
" ","17 Years","Male",32350
" "," ","Female",30420
" ","18 Years","Male",32470
" "," ","Female",30940
" ","19 Years","Male",33920
" "," ","Female",32020
" ","20 Years","Male",34480
" "," ","Female",32220
" ","21 Years","Male",33900
" "," ","Female",31660
" ","22 Years","Male",34890
" "," ","Female",32450
" ","23 Years","Male",35510
" "," ","Female",33120
" ","24 Years","Male",36820
" "," ","Female",33920
" ","25 Years","Male",37420
" "," ","Female",34920
" ","26 Years","Male",37870
" "," ","Female",35820
" ","27 Years","Male",39290
" "," ","Female",37610
" ","28 Years","Male",40360
" "," ","Female",38820
" ","29 Years","Male",40370
" "," ","Female",39830
" ","30 Years","Male",39770
" "," ","Female",39410
" ","31 Years","Male",38170
" "," ","Female",38330
" ","32 Years","Male",37430
" "," ","Female",38080
" ","33 Years","Male",36150
" "," ","Female",36100
" ","34 Years","Male",34650
" "," ","Female",35300
" ","35 Years","Male",34020
" "," ","Female",34900
" ","36 Years","Male",33630
" "," ","Female",34300
" ","37 Years","Male",33430
" "," ","Female",33860
" ","38 Years","Male",32720
" "," ","Female",33130
" ","39 Years","Male",32080
" "," ","Female",32370
" ","40 Years","Male",31560
" "," ","Female",32010
" ","41 Years","Male",30730
" "," ","Female",31460
" ","42 Years","Male",29940
" "," ","Female",30800
" ","43 Years","Male",30090
" "," ","Female",30750
" ","44 Years","Male",30110
" "," ","Female",30650
" ","45 Years","Male",30680
" "," ","Female",31900
" ","46 Years","Male",31530
" "," ","Female",32960
" ","47 Years","Male",32640
" "," ","Female",33950
" ","48 Years","Male",33600
" "," ","Female",34950
" ","49 Years","Male",33440
" "," ","Female",35220
" ","50 Years","Male",32800
" "," ","Female",34210
" ","51 Years","Male",32610
" "," ","Female",34180
" ","52 Years","Male",31790
" "," ","Female",33400
" ","53 Years","Male",31120
" "," ","Female",32640
" ","54 Years","Male",31030
" "," ","Female",32330
" ","55 Years","Male",31240
" "," ","Female",32880
" ","56 Years","Male",31890
" "," ","Female",33660
" ","57 Years","Male",32190
" "," ","Female",34430
" ","58 Years","Male",31760
" "," ","Female",33820
" ","59 Years","Male",30780
" "," ","Female",33040
" ","60 Years","Male",29880
" "," ","Female",31700
" ","61 Years","Male",29110
